Una volta ancora;Fred De Palma feat. Ana Mena

Calma [remix];Pedro Capó & Farruko

Soldi;Mahmood

E'' sempre bello;Coez

Per un milione;BoomDaBash

Calipso;Charlie Charles feat. Sfera Ebbasta & Mahmood & Fabri Fibra

Dove e quando;Benji & Fede

Dance monkey;Tones and I

Con calma;Daddy Yankee feat. Snow

Jambo;Takagi & Ketra & Omi & Giusy Ferreri

Ostia Lido;J-Ax

I tuoi particolari;Ultimo

Sweet but psycho;Ava Max

Il cielo nella stanza;Salmo feat. Nstasia

Mambo salentino;Boomdabash feat. Alessandra Amoroso

Bad guy;Billie Eilish

Senorita;Shawn Mendes & Camila Cabello

Yoshi;Machete & Dani Faiv & Tha Supreme feat. Fabri Fibra

Arrogante;Irama

Someone you loved;Lewis Capaldi

Hola (I say);Marco Mengoni feat. Tom Walker

Shallow (A star is born);Lady Gaga & Bradley Cooper

Margarita;Elodie & Marracash

Ti volevo dedicare;Rocco Hunt feat. JAx & BoomDaBash

I don''t care;Ed Sheeran & Justin Bieber

Non avere paura;Tommaso Paradiso

Piece of your heart;Meduza & Goodboys

Chiasso;Random

blun7 a swishland;tha Supreme

Mademoiselle;Sfera Ebbasta

Playa;Baby K

La ragazza con il cuore di latta;Irama

Lento;Boro Boro feat. MamboLosco

Torna a casa;Maneskin

Baila baila baila;Ozuna

Barrio;Mahmood

Stamm fort;Luchè feat. Sfera Ebbasta

Maradona y Pelè;Thegiornalisti

Giant;Calvin Harris & Rag''n''Bone Man

Happier;Marshmello & Bastille

Cin Cin;Alfa & Yanomi

Rondini al guinzaglio;Ultimo

Pookie;Aya Nakamura feat. Capo Plaza

La luna e la gatta;Takagi & Ketra feat. Tommaso Paradiso & Jovanotti & Calcutta

Loco contigo;Dj Snake & J Balvin & Tyga

Pensare male;Kolors & Elodie

Senza farlo apposta;Shade & Federica Carta

Bad liar;Imagine Dragons

Piccola stella;Ultimo

Domenica;Coez

90MIN;Salmo

Posso;Carl Brave feat. Max Gazzè

La hit dell''estate;Shade

High hopes;Panic! At The Disco

Ritmo (Bad boys for life);Black Eyed Peas & J Balvin

Vivere tutte le vite;Elisa x Carl Brave

Anche fragile;Elisa

Cascare nei tuoi occhi;Ultimo

Don''t call me up;Mabel

Adan y Eva;Paulo Londra

Senza di me;Gemitaiz & Venerus & Franco 126

Ti dedico il silenzio;Ultimo

Pianeti;Ultimo

Veleno 7;Gemitaiz

Ho paura di uscire 2;Machete & Salmo & Lazza

SUPREME: L''ego;Marracash & tha Supreme & Sfera Ebbasta

M8nstar;Tha Supreme

Memories;Maroon 5

Cosa ti aspetti da me;Loredana Bertè

Happy birthday;Sfera Ebbasta

I love you;Ghali

Marylean;Machete & Salmo & Nitro feat. Marracash

Taki Taki;Dj Snake feat. Selena Gomez & Ozuna & Cardi B

Look back at it;A Boogie wit da Hoodie feat. Capo Plaza

Blu;Rkomi feat. Elisa

Oh 9od;Tha Supreme feat. Nayt

Te robarè;Nicky Jam & Ozuna

Beautiful people;Ed Sheeran feat. Khalid

2% Guè Pequeno feat. Frah Quintale

Old town road;Lil Nas X

Lalala;Y2K & Bbno$

Senza pensieri;Fabio Rovazzi feat. JAx & Loredana Bertè

Rolls Royce;Achille Lauro feat. Boss Doms & Frenetik&Orang3

48H;Izi feat. Sfera Ebbasta

China;Anuel AA & Daddy Yankee & Karol G feat. Ozuna & J Balvin

Old town road [remix];Lil Nas X feat. Billy Ray Cyrus

Se piovesse il tuo nome;Elisa & Calcutta

D''estate non vale;Fred De Palma feat. Ana Mena

Mon Fre;Shiva & Emis Killa

Cambiare adesso;Dark Polo Gang

Fuoco e benzina;Emis Killa

Accetto miracoli;Tiziano Ferro

Bossoli;Shiva

CRUDELIA: I nervi;Marracash

La tua canzone;Coez

Cabriolet;Salmo feat. Sfera Ebbasta

C''est la vie;Achille Lauro & Boss Doms

7 rings;Ariana Grande

Muhammad Ali;Marco Mengoni

HP;Maluma
